FALSE,Slave,Func,Adr,#Reg,Format,Name,Draw,Low,High,Setting
FALSE,1,3,272,1,uint,num of node,,,,
FALSE,1,3,273,2,uint,node id 1,,,,
FALSE,1,3,275,2,uint,node id 2,,,,
FALSE,1,3,277,2,uint,node id 3,,,,
FALSE,1,3,256,1,uint,modbus address,,,,
FALSE,1,3,257,1,uint,modbus baudrate,,,,
FALSE,1,3,258,1,uint,modbus parity,,,,
FALSE,1,3,41217,2,float,Main parameter 1,,,,
FALSE,1,3,41473,2,float,Main parameter 2,,,,
FALSE,1,3,41729,2,float,Main parameter 3,,,,
FALSE,1,3,41220,2,float,Second parameter 1,,,,
FALSE,1,3,41476,2,float,Second parameter 2,,,,
FALSE,1,3,41732,2,float,Second parameter 3,,,,
FALSE,1,3,41216,1,uint,%Battery Node 1,,,,
FALSE,1,3,41472,1,uint,%Battery Node 2,,,,
FALSE,1,3,41728,1,uint,%Battery Node 3,,,,
FALSE,1,3,41219,1,uint,Status Node 1,,,,
FALSE,1,3,41475,1,uint,Status Node 2,,,,
FALSE,1,3,41731,1,uint,Status Node 3,,,,
FALSE,1,3,28,1,int,Data Status Node 1,,,,
FALSE,1,3,28,1,int,Data Status Node 2,,,,
FALSE,1,3,29,1,int,Data Status Node 3,,,,
FALSE,1,3,68,1,int,RF Signal of Node 1,,,,
FALSE,1,3,68,1,int,RF Signal of Node 2,,,,
FALSE,1,3,69,1,int,RF Signal of Node 3,,,,
FALSE,1,3,400,1,hex,Update_enable 1,,,,
FALSE,1,3,401,1,uint,Cycle_wakeup 1,,,,
FALSE,1,3,402,1,uint,Cycle_healthsta 1,,,,
FALSE,1,3,410,2,float,Delta_main 1,,,,
FALSE,1,3,412,2,float,Offset_main 1,,,,
FALSE,1,3,414,2,float,Offset_second 1,,,,
FALSE,1,3,430,1,hex,Update_enable 2,,,,
FALSE,1,3,431,1,uint,Cycle_wakeup 2,,,,
FALSE,1,3,432,1,uint,Cycle_healthsta 2,,,,
FALSE,1,3,440,2,float,Delta_main 2,,,,
FALSE,1,3,442,2,float,Offset_main 2,,,,
FALSE,1,3,444,2,float,Offset_second 2,,,,
FALSE,1,3,460,1,hex,Update_enable 3,,,,
FALSE,1,3,461,1,uint,Cycle_wakeup 3,,,,
FALSE,1,3,462,1,uint,Cycle_healthsta 3,,,,
FALSE,1,3,470,2,float,Delta_main 3,,,,
FALSE,1,3,472,2,float,Offset_main 3,,,,
FALSE,1,3,474,2,float,Offset_second 3,,,,
FALSE,1,3,490,1,hex,Update_enable 4,,,,
FALSE,1,3,491,1,uint,Cycle_wakeup 4,,,,
FALSE,1,3,492,1,uint,Cycle_healthsta 4,,,,
FALSE,1,3,500,2,float,Delta_main 4,,,,
FALSE,1,3,502,2,float,Offset_main 4,,,,
FALSE,1,3,504,2,float,Offset_second 4,,,,
FALSE,1,3,520,1,hex,Update_enable 5,,,,
FALSE,1,3,521,1,uint,Cycle_wakeup 5,,,,
FALSE,1,3,522,1,uint,Cycle_healthsta 5,,,,
FALSE,1,3,530,2,float,Delta_main 5,,,,
FALSE,1,3,532,2,float,Offset_main 5,,,,
FALSE,1,3,534,2,float,Offset_second 5,,,,
FALSE,1,3,550,1,hex,Update_enable 6,,,,
FALSE,1,3,551,1,uint,Cycle_wakeup 6,,,,
FALSE,1,3,552,1,uint,Cycle_healthsta 6,,,,
FALSE,1,3,560,2,float,Delta_main 6,,,,
FALSE,1,3,562,2,float,Offset_main 6,,,,
FALSE,1,3,564,2,float,Offset_second 6,,,,
FALSE,1,3,580,1,hex,Update_enable 7,,,,
FALSE,1,3,581,1,uint,Cycle_wakeup 7,,,,
FALSE,1,3,582,1,uint,Cycle_healthsta 7,,,,
FALSE,1,3,590,2,float,Delta_main 7,,,,
FALSE,1,3,592,2,float,Offset_main 7,,,,
FALSE,1,3,594,2,float,Offset_second 7,,,,
FALSE,1,3,610,1,hex,Update_enable 8,,,,
FALSE,1,3,611,1,uint,Cycle_wakeup 8,,,,
FALSE,1,3,612,1,uint,Cycle_healthsta 8,,,,
FALSE,1,3,620,2,float,Delta_main 8,,,,
FALSE,1,3,622,2,float,Offset_main 8 ,,,,
FALSE,1,3,624,2,float,Offset_second 8,,,,
FALSE,1,3,640,1,hex,Update_enable 9,,,,
FALSE,1,3,641,1,uint,Cycle_wakeup 9,,,,
FALSE,1,3,642,1,uint,Cycle_healthsta 9,,,,
FALSE,1,3,650,2,float,Delta_main 9,,,,
FALSE,1,3,652,2,float,Offset_main 9,,,,
FALSE,1,3,654,2,float,Offset_second 9,,,,
FALSE,1,3,670,1,hex,Update_enable 10,,,,
FALSE,1,3,671,1,uint,Cycle_wakeup 10,,,,
FALSE,1,3,672,1,uint,Cycle_healthsta 10,,,,
FALSE,1,3,680,2,float,Delta_main 10,,,,
FALSE,1,3,682,2,float,Offset_main 10,,,,
FALSE,1,3,684,2,float,Offset_second 10,,,,
